Price,Bathrooms,Furniture,Tenant Preference,Floor,Flat,Location,Area,Total Floors
17000,2.0,Semi-Furnished,Bachelors,6,2,Bhopal,Fortune Kasturi,6.0
16000,3.0,Unfurnished,Bachelors,2,3,Bhopal,Shalimar Fortleza,2.0
15000,2.0,Semi-Furnished,Bachelors/Family,1,2,Bhopal,Aakriti Eco City,1.0
8000,2.0,Unfurnished,Bachelors,6,2,Bhopal,Swastik Paras Enclave,6.0
21000,3.0,Unfurnished,Bachelors/Family,4,2,Bhopal,Green Acres,6.0
15000,2.0,Unfurnished,Bachelors/Family,0,2,Bhopal,Salaiya Bhopal,5.0
20000,3.0,Semi-Furnished,Bachelors/Family,0,3,Bhopal,ABDL Aashima Anupama City,5.0
20000,3.0,Semi-Furnished,Bachelors,2,3,Bhopal,Misrod,5.0
20000,4.0,Unfurnished,Bachelors/Family,0,3,Bhopal,asaga Bhopal,9.0
14000,3.0,Unfurnished,Bachelors/Family,9,3,Bhopal,Prabhatam Heights,9.0
25000,3.0,Semi-Furnished,Bachelors/Family,0,3,Bhopal,Bawadiya Kalan Bhopal,2.0
12000,1.0,Unfurnished,Bachelors,1,2,Bhopal,Nayapura Lalghati Bhopal,2.0
10000,2.0,Unfurnished,Bachelors/Family,4,2,Bhopal,RRG Township,6.0
22000,3.0,Semi-Furnished,Bachelors,9,3,Bhopal,Swapnil Shiv Enclave,10.0
11000,2.0,Semi-Furnished,Bachelors/Family,2,2,Bhopal,Sagar Abhinav Heights,6.0
25000,3.0,Unfurnished,Bachelors,0,3,Bhopal,Chuna Bhatti Bhopal,2.0
30000,3.0,Unfurnished,Bachelors,1,3,Bhopal,comfort palm,2.0
27000,2.0,Furnished,Bachelors,4,3,Bhopal,Harshit Lifestyle,6.0
37000,3.0,Semi-Furnished,Bachelors/Family,9,3,Bhopal,Keelandev Tower,10.0
28000,2.0,Unfurnished,Bachelors,1,2,Bhopal,Abhiruchi Parisar Bhopal,2.0
24000,3.0,Furnished,Family,5,3,Bhopal,Hoshangabad Road,6.0
20000,2.0,Furnished,Bachelors/Family,0,2,Bhopal,Agrawal Sagar Lakeview Homes,5.0
21000,2.0,Semi-Furnished,Bachelors/Family,0,3,Bhopal,ABDL Paradise,5.0
14000,2.0,Unfurnished,Bachelors,1,3,Bhopal,Agrawal Sagar Landmark,5.0
25000,3.0,Furnished,Family,2,3,Bhopal,comfort palm,2.0
16000,2.0,Semi-Furnished,Family,2,2,Bhopal,Bawadiya Kalan,3.0
14500,2.0,Furnished,Bachelors/Family,2,2,Bhopal,Bhopal,6.0
36000,2.0,Furnished,Family,3,2,Pune,Sai Royale,12.0
17000,1.0,Semi-Furnished,Bachelors,12,1,Pune,Kolte Patil Life Republic,22.0
17000,2.0,Unfurnished,Bachelors/Family,13,1,Pune,Kolte Patil Life Republic,21.0
38000,2.0,Furnished,Bachelors/Family,2,2,Pune,Camelot Royale,5.0
30000,3.0,Semi-Furnished,Bachelors/Family,4,3,Pune,Mont Vert Belair,12.0
29000,3.0,Unfurnished,Bachelors/Family,5,3,Pune,Kolte Patil Life Republic,22.0
22000,2.0,Semi-Furnished,Bachelors/Family,22,1,Pune,Paranjape Blue Ridge,30.0
40000,2.0,Furnished,Bachelors/Family,5,2,Pune,Neco Garden,7.0
23000,2.0,Unfurnished,Family,2,2,Pune,Rohan Ananta,12.0
45000,3.0,Semi-Furnished,Bachelors/Family,11,3,Pune,Mango One,12.0
27000,3.0,Semi-Furnished,Family,16,3,Pune,Magarpatta Nanded City Sargam,31.0
75000,3.0,Semi-Furnished,Bachelors,5,3,Pune,Leela Garden,9.0
42000,3.0,Furnished,Family,5,3,Pune,Kolte-Patil 24k Glamore,11.0
65000,3.0,Unfurnished,Bachelors/Family,12,3,Pune,Kalpataru Jade Residences,21.0
22000,2.0,Semi-Furnished,Bachelors/Family,12,2,Pune,Kolte Patil Life Republic,22.0
27000,2.0,Semi-Furnished,Bachelors/Family,1,2,Pune,Venkatesh Graffiti Phase 3 Phase 4 Phase 5,14.0
34000,3.0,Semi-Furnished,Bachelors,7,3,Pune,Mont Vert Seville,12.0
21000,1.0,Semi-Furnished,Bachelors/Family,0,1,Pune,Blueridge slim fit and NGA Towers,14.0
24000,2.0,Unfurnished,Bachelors/Family,8,2,Pune,Megapolis Saffron,14.0
55000,3.0,Furnished,Family,3,3,Pune,Ashok Meadows,7.0
60000,2.0,Unfurnished,Bachelors,3,3,Pune,Prabhat,3.0
45000,3.0,Unfurnished,Family,4,3,Pune,Pride Valencia,10.0
22000,1.0,Unfurnished,Bachelors/Family,5,1,Pune,Paranjape Blueridge The Groves,13.0
26000,1.0,Furnished,Bachelors/Family,9,1,Pune,Paranjape Blueridge The Groves,13.0
